AIPGENE13054	KXJ30081.1
AIPGENE13200	KXJ30188.1
AIPGENE13095	KXJ30137.1
AIPGENE13146	KXJ30097.1
AIPGENE13085	KXJ30119.1
AIPGENE13087	KXJ30230.1
AIPGENE13177	KXJ30076.1
AIPGENE13194	KXJ30134.1
AIPGENE13074	KXJ30082.1
AIPGENE13046	KXJ30070.1
AIPGENE13137	KXJ30094.1
AIPGENE13174	KXJ30118.1
AIPGENE13110	KXJ30150.1
AIPGENE13215	KXJ30109.1
AIPGENE13115	KXJ30215.1
AIPGENE13118	KXJ30072.1
AIPGENE13142	KXJ30175.1
AIPGENE13096	KXJ30190.1
AIPGENE13147	KXJ30067.1
AIPGENE13073	KXJ30183.1
AIPGENE13167	KXJ30115.1
AIPGENE13116	KXJ30087.1
AIPGENE13070	KXJ30136.1
AIPGENE13112	KXJ30096.1
AIPGENE13180	KXJ30227.1
AIPGENE13185	KXJ30146.1
AIPGENE13063	KXJ30110.1
AIPGENE13083	KXJ30143.1
AIPGENE13051	KXJ30164.1
AIPGENE13160	KXJ30068.1
AIPGENE13078	KXJ30139.1
AIPGENE13057	KXJ30200.1
AIPGENE13108	KXJ30079.1
AIPGENE13068	KXJ30128.1
AIPGENE13152	KXJ30195.1
AIPGENE13066	KXJ30168.1
AIPGENE13138	KXJ30182.1
AIPGENE13052	KXJ30103.1
AIPGENE13164	KXJ30144.1
AIPGENE13153	KXJ30141.1
AIPGENE13047	KXJ30106.1
AIPGENE13093	KXJ30207.1
AIPGENE13084	KXJ30196.1
AIPGENE13203	KXJ30206.1
AIPGENE13130	KXJ30156.1
AIPGENE13182	KXJ30140.1
AIPGENE13141	KXJ30148.1
AIPGENE13225	KXJ30155.1
AIPGENE13158	KXJ30152.1
AIPGENE13056	KXJ30107.1
AIPGENE13195	KXJ30192.1
AIPGENE13107	KXJ30205.1
AIPGENE13223	KXJ30180.1
AIPGENE13228	KXJ30071.1
AIPGENE13065	KXJ30226.1
AIPGENE13207	KXJ30131.1
AIPGENE13082	KXJ30112.1
AIPGENE13094	KXJ30116.1
AIPGENE13199	KXJ30204.1
