Gene	GeneDesc
K10675	cyanide hydratase [EC:4.2.1.66]
K04267	adenosine receptor A2b
K00419	ubiquinol-cytochrome c reductase subunit 9
K09704	uncharacterized protein
K07824	benzoate 4-monooxygenase [EC:1.14.13.12]
K02723	photosystem II PsbY protein
K04384	transforming growth factor beta, invertebrate
K12604	CCR4-NOT transcription complex subunit 1
K07299	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1
K10551	D-allose transport system ATP-binding protein [EC:3.6.3.17]
K04190	C-X-C chemokine receptor type 5
K02002	glycine betaine/proline transport system substrate-binding protein
K12653	NLR family member X1
K01463	N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
K14894	small nucleolar RNA snR68
K20352	p24 family protein delta-1
K03231	elongation factor 1-alpha
K21852	dedicator of cytokinesis protein 6/7/8
K01886	glutaminyl-tRNA synthetase [EC:6.1.1.18]
K08769	solute carrier family 25 (mitochondrial uncoupling protein), member 7
K19515	benzoyl-CoA reductase subunit BamB [EC:1.3.-.-]
K18971	beta-lactamase class D OXA-24 [EC:3.5.2.6]
K07715	two-component system, NtrC family, response regulator GlrR
K09989	uncharacterized protein
K00266	glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
K02304	precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]
K11545	kinetochore-associated protein NSL1
K08750	fatty acid-binding protein 1, liver
K20660	cytochrome P450 family 709
K22045	B-cell lymphoma/leukemia 11A
K22254	ubiquilin-like protein
K00847	fructokinase [EC:2.7.1.4]
K05129	muscle, skeletal, receptor tyrosine kinase [EC:2.7.10.1]
K07785	MFS transporter, NRE family, putaive nickel resistance protein
K17717	phospholipase D [EC:3.1.4.4]
K04971	transient receptor potential cation channel subfamily V member 2
K20591	pyridoxal phosphate-dependent aminotransferase [EC:2.6.1.-]
K10689	peroxin-4 [EC:2.3.2.23]
K07889	Ras-related protein Rab-5C
K19427	glycosyltransferase EpsJ [EC:2.4.-.-]
K17299	POTE ankyrin domain family protein
K11642	chromodomain-helicase-DNA-binding protein 3 [EC:3.6.4.12]
K08441	G protein-coupled receptor 171
K14492	two-component response regulator ARR-A family
K18287	2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate synthase [EC:4.1.2.56]
K07594	insulin promoter factor 1
K11293	protein HIRA/HIR1
K11425	histone-lysine N-methyltransferase NSD3 [EC:2.1.1.43]
K18876	type III effector protein AvrBs3
K13425	WRKY transcription factor 22
K19754	dynein regulatry complex protein 1
K19984	exocyst complex component 5
K16041	non-LEE-encoded effector NleA
K00992	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
K19860	guanine nucleotide-binding protein alpha-1 subunit
K06748	sialic acid binding Ig-like lectin 8
K19512	mastermind-like domain-containing protein 1
K04290	sphingosine 1-phosphate receptor 3
K16494	protocadherin beta
K18467	vacuolar protein sorting-associated protein 29
K03594	bacterioferritin [EC:1.16.3.1]
K06867	uncharacterized protein
K12873	bud site selection protein 31
K03508	DNA polymerase zeta [EC:2.7.7.7]
K14758	casein kinase I homolog HRR25 [EC:2.7.11.1]
K20175	ankyrin repeat domain-containing protein 27
K06779	mucosal vascular addressin cell adhesion molecule 1
K12866	WW domain-binding protein 11
K18844	spectinomycin phosphotransferase
K12541	ATP-binding cassette, subfamily C, bacterial LapB
K09092	transcription factor-like 5
K22218	protein-tyrosine sulfotransferase [EC:2.8.2.20]
K00970	poly(A) polymerase [EC:2.7.7.19]
K01001	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]
K12401	AP-4 complex subunit beta-1
K05523	D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K13886	coronin-1B/1C/6
K04040	chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]
K02830	cell cycle checkpoint protein [EC:3.1.11.2]
K09537	DnaJ homolog subfamily C member 17
K10784	T cell receptor alpha chain V region
K11469	RING1 and YY1-binding protein
K08989	putative membrane protein
K13769	insulin-like growth factor 2
K13749	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1
K15124	solute carrier family 25, member 48
K12850	pre-mRNA-splicing factor 38B
K05397	histamine-gated chloride channel
K03372	MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]
K20220	tyrosine-protein phosphatase ERK [EC:3.1.3.48]
K04719	5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]
K12419	fatty acid desaturase 6 [EC:1.14.19.-]
K04180	C-C chemokine receptor type 5
K20282	GRIP and coiled-coil domain-containing protein 2
K13043	N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]
K16062	C-C motif chemokine 21
K15657	external thioesterase TEII
K10059	C-type lectin domain family 4 member E
K10272	F-box and leucine-rich repeat protein 6
K05200	glutamate receptor 4
K12846	U4/U6.U5 tri-snRNP-associated protein 3
K16678	eiger
K02307	DASH complex subunit DAM1
K04595	latrophilin and seven transmembrane domain containing 1
K06756	neuronal cell adhesion molecule
K06922	uncharacterized protein
K14226	tRNA His
K13743	protein IpgB2
K21648	tetrachloroethene reductive dehalogenase membrane anchor
K06870	uncharacterized protein
K05456	neuregulin 2
K05463	ephrin-B
K11318	ataxin-7
K02986	small subunit ribosomal protein S4
K10760	adenylate dimethylallyltransferase (cytokinin synthase) [EC:2.5.1.27 2.5.1.112]
K18551	pyrimidine and pyridine-specific 5'-nucleotidase [EC:3.1.3.-]
K03897	lysine N6-hydroxylase [EC:1.14.13.59]
K04052	type III secretion protein H
K08101	phytochromobilin:ferredoxin oxidoreductase [EC:1.3.7.4]
K13165	splicing factor, arginine/serine-rich 12
K16391	pimaricinolide synthase, loading module
K11370	ADA HAT complex component 1
K03614	electron transport complex protein RnfD
K15223	upstream activation factor subunit UAF30
K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
K03074	preprotein translocase subunit SecF
K22001	insulin-like 5
K18797	beta-lactamase class A PER [EC:3.5.2.6]
K16341	Bcl-2-like protein 11
K01099	inositol polyphosphate 5-phosphatase INPP5B/F [EC:3.1.3.36]
K12941	aminobenzoyl-glutamate utilization protein B
K02362	enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]
K16806	MAP7 domain-containing protein 1
K10776	DNA ligase 3 [EC:6.5.1.1]
K10907	aminotransferase [EC:2.6.1.-]
K08471	gustatory receptor
K14392	sodium/pantothenate symporter
K20074	PPM family protein phosphatase [EC:3.1.3.16]
K16761	centrosomal protein CEP44
K21725	4-nitrocatechol/4-nitrophenol 4-monooxygenase [EC:1.14.13.166 1.14.13.167]
K12006	tripartite motif-containing protein 16
K09298	homeobox protein HoxA/C/D13
K00299	FMN reductase [EC:1.5.1.38]
K11093	U1 small nuclear ribonucleoprotein 70kDa
K06138	pyrroloquinoline quinone biosynthesis protein D
K10168	toll-like receptor 5
K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K20458	3-hydroxybenzoate/4-hydroxybenzoate---CoA ligase [EC:6.2.1.37 6.2.1.27]
K07854	Ras-like protein family member 12
K19062	rifampin ADP-ribosylating transferase
K16386	polyene macrolide polyketide synthase
K04460	serine/threonine-protein phosphatase 5 [EC:3.1.3.16]
K03995	complement component 6
K22267	starch-binding domain-containing protein 1
K07291	CDP-L-myo-inositol myo-inositolphosphotransferase [EC:2.7.8.34]
K17156	microRNA 557
K16664	endomucin
K06520	CD99 antigen
K14849	ribosomal RNA-processing protein 1
K07445	putative DNA methylase
K03153	glycine oxidase [EC:1.4.3.19]
K14575	AAA family ATPase
K02004	putative ABC transport system permease protein
K17548	protein kinase domain-containing protein, cytoplasmic
K07758	pyridoxal phosphatase [EC:3.1.3.74]
K10550	D-allose transport system permease protein
K07874	Ras-related protein Rab-1A
K06911	uncharacterized protein
K01354	oligopeptidase B [EC:3.4.21.83]
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K18621	actin-binding protein anillin
K11575	centromere DNA-binding protein complex CBF3 subunit B
K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
K12080	type IV secretion system protein PtlC
K15637	serine/threonine-protein phosphatase PGAM5 [EC:3.1.3.16]
K06726	D-ribose pyranase [EC:5.4.99.62]
K08426	G protein-coupled receptor 132
K03936	NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:1.6.5.3 1.6.99.3]
K21729	(R)-dichlorprop dioxygenase (2-oxoglutarate) [EC:1.14.11.44]
K07941	ADP-ribosylation factor 6
K18892	ATP-binding cassette, subfamily B, multidrug efflux pump
K18156	mitochondrial inner membrane protease ATP23 [EC:3.4.24.-]
K02413	flagellar FliJ protein
