Gene	Path	PathDesc
K12624	ko03018	RNA degradation
K12624	ko03040	Spliceosome
K07973	ko04011	MAPK signaling pathway - yeast
K07754	ko04919	Thyroid hormone signaling pathway
K04348	ko04010	MAPK signaling pathway
K04348	ko04020	Calcium signaling pathway
K04348	ko04022	cGMP-PKG signaling pathway
K04348	ko04114	Oocyte meiosis
K04348	ko04218	Cellular senescence
K04348	ko04310	Wnt signaling pathway
K04348	ko04360	Axon guidance
K04348	ko04370	VEGF signaling pathway
K04348	ko04380	Osteoclast differentiation
K04348	ko04650	Natural killer cell mediated cytotoxicity
K04348	ko04658	Th1 and Th2 cell differentiation
K04348	ko04659	Th17 cell differentiation
K04348	ko04660	T cell receptor signaling pathway
K04348	ko04662	B cell receptor signaling pathway
K04348	ko04720	Long-term potentiation
K04348	ko04724	Glutamatergic synapse
K04348	ko04728	Dopaminergic synapse
K04348	ko04921	Oxytocin signaling pathway
K04348	ko04922	Glucagon signaling pathway
K04348	ko04924	Renin secretion
K04348	ko05010	Alzheimer's disease
K04348	ko05014	Amyotrophic lateral sclerosis (ALS)
K04348	ko05031	Amphetamine addiction
K04348	ko05152	Tuberculosis
K04348	ko05166	HTLV-I infection
K04348	ko05167	Kaposi's sarcoma-associated herpesvirus infection
K14446	ko00630	Glyoxylate and dicarboxylate metabolism
K14446	ko01120	Microbial metabolism in diverse environments
K14446	ko01200	Carbon metabolism
K15809	ko00909	Sesquiterpenoid and triterpenoid biosynthesis
K16989	ko05206	MicroRNAs in cancer
K10817	ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides
K10817	ko01052	Type I polyketide structures
K10817	ko01130	Biosynthesis of antibiotics
K14754	ko05162	Measles
K14754	ko05164	Influenza A
K14754	ko05165	Human papillomavirus infection
K02966	ko03010	Ribosome
K02152	ko00190	Oxidative phosphorylation
K02152	ko01100	Metabolic pathways
K02152	ko04145	Phagosome
K02152	ko04150	mTOR signaling pathway
K02152	ko04721	Synaptic vesicle cycle
K02152	ko04966	Collecting duct acid secretion
K02152	ko05110	Vibrio cholerae infection
K02152	ko05120	Epithelial cell signaling in Helicobacter pylori infection
K02152	ko05323	Rheumatoid arthritis
K04799	ko03030	DNA replication
K04799	ko03410	Base excision repair
K04799	ko03450	Non-homologous end-joining
K11818	ko00380	Tryptophan metabolism
K11818	ko00966	Glucosinolate biosynthesis
K11818	ko01110	Biosynthesis of secondary metabolites
K11818	ko01210	2-Oxocarboxylic acid metabolism
K19391	ko05164	Influenza A
K20917	ko04621	NOD-like receptor signaling pathway
K14735	ko00860	Porphyrin and chlorophyll metabolism
K14735	ko04978	Mineral absorption
K11191	ko00520	Amino sugar and nucleotide sugar metabolism
K11191	ko02060	Phosphotransferase system (PTS)
K08712	ko02010	ABC transporters
K06627	ko04110	Cell cycle
K06627	ko04152	AMPK signaling pathway
K06627	ko04218	Cellular senescence
K06627	ko04914	Progesterone-mediated oocyte maturation
K06627	ko05161	Hepatitis B
K06627	ko05165	Human papillomavirus infection
K06627	ko05169	Epstein-Barr virus infection
K06627	ko05203	Viral carcinogenesis
K20454	ko00760	Nicotinate and nicotinamide metabolism
K20454	ko01120	Microbial metabolism in diverse environments
K19113	ko00261	Monobactam biosynthesis
K19113	ko01130	Biosynthesis of antibiotics
K09600	ko04142	Lysosome
K08498	ko04130	SNARE interactions in vesicular transport
K21581	ko00941	Flavonoid biosynthesis
K21188	ko01059	Biosynthesis of enediyne antibiotics
K21188	ko01130	Biosynthesis of antibiotics
K00767	ko00760	Nicotinate and nicotinamide metabolism
K00767	ko01100	Metabolic pathways
K09788	ko00640	Propanoate metabolism
K10924	ko05111	Biofilm formation - Vibrio cholerae
K04427	ko04010	MAPK signaling pathway
K04427	ko04013	MAPK signaling pathway - fly
K04427	ko04064	NF-kappa B signaling pathway
K04427	ko04140	Autophagy - animal
K04427	ko04152	AMPK signaling pathway
K04427	ko04214	Apoptosis - fly
K04427	ko04310	Wnt signaling pathway
K04427	ko04380	Osteoclast differentiation
K04427	ko04520	Adherens junction
K04427	ko04620	Toll-like receptor signaling pathway
K04427	ko04621	NOD-like receptor signaling pathway
K04427	ko04622	RIG-I-like receptor signaling pathway
K04427	ko04624	Toll and Imd signaling pathway
K04427	ko04657	IL-17 signaling pathway
K04427	ko04660	T cell receptor signaling pathway
K04427	ko04668	TNF signaling pathway
K04427	ko05140	Leishmaniasis
K04427	ko05145	Toxoplasmosis
